Key,Common Name,Scientific Name
BHBA,Brown-headed Barbet,Psilopogon zeylanicus
WCBA,White-cheeked Barbet,Psilopogon viridis
GTBA,Golden-throated Barbet,Psilopogon franklinii
BTBA,Blue-throated Barbet,Psilopogon asiaticus
YRHO,Yellow-rumped Honeyguide,Indicator xanthonotus
EUWR,Eurasian Wryneck,Jynx torquilla
SPPI,Speckled Piculet,Picumnus innominatus
WBPI,White-browed Piculet,Sasia ochracea
HSWO,Heart-spotted Woodpecker,Hemicircus canente
BCPW,Brown-capped Pygmy Woodpecker,Yungipicus nanus
GCPW,Gray-capped Pygmy Woodpecker,Yungipicus canicapillus
YCWO,Yellow-crowned Woodpecker,Leiopicus mahrattensis
BFWO,Brown-fronted Woodpecker,Dendrocoptes auriceps
RBWO,Rufous-bellied Woodpecker,Dendrocopos hyperythrus
FBWO,Fulvous-breasted Woodpecker,Dendrocopos macei
FBWO,Freckle-breasted Woodpecker,Dendrocopos analis
SBWO,Stripe-breasted Woodpecker,Dendrocopos atratus
DAWO,Darjeeling Woodpecker,Dendrocopos darjellensis
GSWO,Great Spotted Woodpecker,Dendrocopos major
HIWO,Himalayan Woodpecker,Dendrocopos himalayensis
SIWO,Sind Woodpecker,Dendrocopos assimilis
CNWO,Crimson-naped Woodpecker,Dryobates cathpharius
BAWO,Bay Woodpecker,Blythipicus pyrrhotis
GRFL,Greater Flameback,Chrysocolaptes guttacristatus
MAFL,Malabar Flameback,Chrysocolaptes socialis
WNWO,White-naped Woodpecker,Chrysocolaptes festivus
RUWO,Rufous Woodpecker,Micropternus brachyurus
PHWO,Pale-headed Woodpecker,Gecinulus grantia
HIFL,Himalayan Flameback,Dinopium shorii
COFL,Common Flameback,Dinopium javanense
BRFL,Black-rumped Flameback,Dinopium benghalense
LEYE,Lesser Yellownape,Picus chlorolophus
STWO,Streak-throated Woodpecker,Picus xanthopygaeus
SBWO,Scaly-bellied Woodpecker,Picus squamatus
GHWO,Gray-headed Woodpecker,Picus canus
GRYE,Greater Yellownape,Chrysophlegma flavinucha
GSWO,Great Slaty Woodpecker,Mulleripicus pulverulentus
WBWO,White-bellied Woodpecker,Dryocopus javensis
ANWO,Andaman Woodpecker,Dryocopus hodgei
PIFA,Pied Falconet,Microhierax melanoleucos
COFA,Collared Falconet,Microhierax caerulescens
LEKE,Lesser Kestrel,Falco naumanni
EUKE,Eurasian Kestrel,Falco tinnunculus
RNFA,Red-necked Falcon,Falco chicquera
RFFA,Red-footed Falcon,Falco vespertinus
AMFA,Amur Falcon,Falco amurensis
MERL,Merlin,Falco columbarius
EUHO,Eurasian Hobby,Falco subbuteo
ORHO,Oriental Hobby,Falco severus
LAFA,Laggar Falcon,Falco jugger
SAFA,Saker Falcon,Falco cherrug
PEFA,Peregrine Falcon,Falco peregrinus
ALPA,Alexandrine Parakeet,Psittacula eupatria
RRPA,Rose-ringed Parakeet,Psittacula krameri
SHPA,Slaty-headed Parakeet,Psittacula himalayana
GHPA,Gray-headed Parakeet,Psittacula finschii
PHPA,Plum-headed Parakeet,Psittacula cyanocephala
BHPA,Blossom-headed Parakeet,Psittacula roseata
MAPA,Malabar Parakeet,Psittacula columboides
DEPA,Derbyan Parakeet,Psittacula derbiana
RBPA,Red-breasted Parakeet,Psittacula alexandri
NIPA,Nicobar Parakeet,Psittacula caniceps
LTPA,Long-tailed Parakeet,Psittacula longicauda
VHPA,Vernal Hanging-Parrot,Loriculus vernalis
LTBR,Long-tailed Broadbill,Psarisomus dalhousiae
GLBR,Gray-lored Broadbill,Serilophus rubropygius
BNPI,Blue-naped Pitta,Hydrornis nipalensis
BLPI,Blue Pitta,Hydrornis cyaneus
INPI,Indian Pitta,Pitta brachyura
BWPI,Blue-winged Pitta,Pitta moluccensis
NHPI,Nicobar Hooded Pitta,Pitta abbotti
WHPI,Western Hooded Pitta,Pitta sordida
MAPI,Mangrove Pitta,Pitta megarhyncha
WBMI,White-bellied Minivet,Pericrocotus erythropygius
SMMI,Small Minivet,Pericrocotus cinnamomeus
GCMI,Gray-chinned Minivet,Pericrocotus solaris
SBMI,Short-billed Minivet,Pericrocotus brevirostris
LTMI,Long-tailed Minivet,Pericrocotus ethologus
ORMI,Orange Minivet,Pericrocotus flammeus
SCMI,Scarlet Minivet,Pericrocotus speciosus
ASMI,Ashy Minivet,Pericrocotus divaricatus
BRMI,Brown-rumped Minivet,Pericrocotus cantonensis
ROMI,Rosy Minivet,Pericrocotus roseus
INCU,Indian Cuckooshrike,Coracina macei
ORCU,Oriental Cuckooshrike,Coracina javensis
ANCU,Andaman Cuckooshrike,Coracina dobsoni
PITR,Pied Triller,Lalage nigra
BWCU,Black-winged Cuckooshrike,Lalage melaschistos
BHCU,Black-headed Cuckooshrike,Lalage melanoptera
BHSB,Black-headed Shrike-Babbler,Pteruthius rufiventer
WBSB,White-browed Shrike-Babbler,Pteruthius aeralatus
GSBA,Green Shrike-Babbler,Pteruthius xanthochlorus
BESB,Black-eared Shrike-Babbler,Pteruthius melanotis
CSBA,Clicking Shrike-Babbler,Pteruthius intermedius
WBER,White-bellied Erpornis,Erpornis zantholeuca
MAWH,Mangrove Whistler,Pachycephala cinerea
EGOR,Eurasian Golden Oriole,Oriolus oriolus
IGOR,Indian Golden Oriole,Oriolus kundoo
BNOR,Black-naped Oriole,Oriolus chinensis
SBOR,Slender-billed Oriole,Oriolus tenuirostris
BHOR,Black-hooded Oriole,Oriolus xanthornus
MAOR,Maroon Oriole,Oriolus traillii
ASWO,Ashy Woodswallow,Artamus fuscus
WBWO,White-breasted Woodswallow,Artamus leucorynchus
MAWO,Malabar Woodshrike,Tephrodornis sylvicola
LAWO,Large Woodshrike,Tephrodornis virgatus
COWO,Common Woodshrike,Tephrodornis pondicerianus
BWFS,Bar-winged Flycatcher-shrike,Hemipus picatus
COIO,Common Iora,Aegithina tiphia
WTIO,White-tailed Iora,Aegithina nigrolutea
WTFA,White-throated Fantail,Rhipidura albicollis
SBFA,Spot-breasted Fantail,Rhipidura albogularis
WBFA,White-browed Fantail,Rhipidura aureola
BLDR,Black Drongo,Dicrurus macrocercus
ASDR,Ashy Drongo,Dicrurus leucophaeus
WBDR,White-bellied Drongo,Dicrurus caerulescens
CBDR,Crow-billed Drongo,Dicrurus annectens
BRDR,Bronzed Drongo,Dicrurus aeneus
LRTD,Lesser Racket-tailed Drongo,Dicrurus remifer
HCDR,Hair-crested Drongo,Dicrurus hottentottus
ANDR,Andaman Drongo,Dicrurus andamanensis
GRTD,Greater Racket-tailed Drongo,Dicrurus paradiseus
BNMO,Black-naped Monarch,Hypothymis azurea
APFL,Amur Paradise-Flycatcher,Terpsiphone incei
BPFL,Blyth's Paradise-Flycatcher,Terpsiphone affinis
IPFL,Indian Paradise-Flycatcher,Terpsiphone paradisi
TISH,Tiger Shrike,Lanius tigrinus
RBSH,Red-backed Shrike,Lanius collurio
RTSH,Red-tailed Shrike,Lanius phoenicuroides
ISSH,Isabelline Shrike,Lanius isabellinus
BRSH,Brown Shrike,Lanius cristatus
BUSH,Burmese Shrike,Lanius collurioides
BBSH,Bay-backed Shrike,Lanius vittatus
LTSH,Long-tailed Shrike,Lanius schach
GBSH,Gray-backed Shrike,Lanius tephronotus
GGSH,Great Gray Shrike,Lanius excubitor
LGSH,Lesser Gray Shrike,Lanius minor
GISH,Giant Shrike,Lanius giganteus
MASH,Masked Shrike,Lanius nubicus
WOSH,Woodchat Shrike,Lanius senator
EUJA,Eurasian Jay,Garrulus glandarius
BHJA,Black-headed Jay,Garrulus lanceolatus
YBBM,Yellow-billed Blue-Magpie,Urocissa flavirostris
RBBM,Red-billed Blue-Magpie,Urocissa erythroryncha
CGMA,Common Green-Magpie,Cissa chinensis
RUTR,Rufous Treepie,Dendrocitta vagabunda
GRTR,Gray Treepie,Dendrocitta formosae
WBTR,White-bellied Treepie,Dendrocitta leucogastra
COTR,Collared Treepie,Dendrocitta frontalis
ANTR,Andaman Treepie,Dendrocitta bayleii
BRMA,Black-rumped Magpie,Pica bottanensis
EUMA,Eurasian Magpie,Pica pica
SONU,Southern Nutcracker,Nucifraga hemispila
KANU,Kashmir Nutcracker,Nucifraga multipunctata
RBCH,Red-billed Chough,Pyrrhocorax pyrrhocorax
YBCH,Yellow-billed Chough,Pyrrhocorax graculus
EUJA,Eurasian Jackdaw,Coloeus monedula
HOCR,House Crow,Corvus splendens
ROOK,Rook,Corvus frugilegus
CACR,Carrion Crow,Corvus corone
HOCR,Hooded Crow,Corvus cornix
LBCR,Large-billed Crow,Corvus macrorhynchos
PICR,Pied Crow,Corvus albus
CORA,Common Raven,Corvus corax
YBFF,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus
GHCF,Gray-headed Canary-Flycatcher,Culicicapa ceylonensis
FCTI,Fire-capped Tit,Cephalopyrus flammiceps
YBTI,Yellow-browed Tit,Sylviparus modestus
SUTI,Sultan Tit,Melanochlora sultanea
COTI,Coal Tit,Periparus ater
RNTI,Rufous-naped Tit,Periparus rufonuchalis
RVTI,Rufous-vented Tit,Periparus rubidiventris
GCTI,Gray-crested Tit,Lophophanes dichrous
AZTI,Azure Tit,Cyanistes cyanus
GRTI,Ground Tit,Pseudopodoces humilis
GBTI,Green-backed Tit,Parus monticolus
ASTI,Asian Tit,Parus cinereus
WNTI,White-naped Tit,Machlolophus nuchalis
HBLT,Himalayan Black-lored Tit,Machlolophus xanthogenys
IYTI,Indian Yellow Tit,Machlolophus aplonotus
YCTI,Yellow-cheeked Tit,Machlolophus spilonotus
WCPT,White-crowned Penduline-Tit,Remiz coronatus
GHLA,Greater Hoopoe-Lark,Alaemon alaudipes
RTLA,Rufous-tailed Lark,Ammomanes phoenicura
DELA,Desert Lark,Ammomanes deserti
BCSL,Black-crowned Sparrow-Lark,Eremopterix nigriceps
ACSL,Ashy-crowned Sparrow-Lark,Eremopterix griseus
JEBU,Jerdon's Bushlark,Plocealauda affinis
INBU,Indian Bushlark,Plocealauda erythroptera
BEBU,Bengal Bushlark,Plocealauda assamica
SIBU,Singing Bushlark,Mirafra javanica
EUSK,Eurasian Skylark,Alauda arvensis
ORSK,Oriental Skylark,Alauda gulgula
TALA,Tawny Lark,Galerida deva
CRLA,Crested Lark,Galerida cristata
MALA,Malabar Lark,Galerida malabarica
HOLA,Horned Lark,Eremophila alpestris
GSTL,Greater Short-toed Lark,Calandrella brachydactyla
HULA,Hume's Lark,Calandrella acutirostris
MSTL,Mongolian Short-toed Lark,Calandrella dukhunensis
BILA,Bimaculated Lark,Melanocorypha bimaculata
TILA,Tibetan Lark,Melanocorypha maxima
TSTL,Turkestan Short-toed Lark,Alaudala heinei
SALA,Sand Lark,Alaudala raytal
COTA,Common Tailorbird,Orthotomus sutorius
DNTA,Dark-necked Tailorbird,Orthotomus atrogularis
HIPR,Himalayan Prinia,Prinia crinigera
BTPR,Black-throated Prinia,Prinia atrogularis
RCPR,Rufous-crowned Prinia,Prinia khasiana
HIPR,Hill Prinia,Prinia superciliaris
GCPR,Gray-crowned Prinia,Prinia cinereocapilla
RFPR,Rufous-fronted Prinia,Prinia buchanani
RUPR,Rufescent Prinia,Prinia rufescens
GBPR,Gray-breasted Prinia,Prinia hodgsonii
DEPR,Delicate Prinia,Prinia lepida
JUPR,Jungle Prinia,Prinia sylvatica
YBPR,Yellow-bellied Prinia,Prinia flaviventris
ASPR,Ashy Prinia,Prinia socialis
PLPR,Plain Prinia,Prinia inornata
ZICI,Zitting Cisticola,Cisticola juncidis
GHCI,Golden-headed Cisticola,Cisticola exilis
TBWA,Thick-billed Warbler,Arundinax aedon
BOWA,Booted Warbler,Iduna caligata
SYWA,Sykes's Warbler,Iduna rama
BBRW,Black-browed Reed Warbler,Acrocephalus bistrigiceps
MOWA,Moustached Warbler,Acrocephalus melanopogon
SEWA,Sedge Warbler,Acrocephalus schoenobaenus
PAWA,Paddyfield Warbler,Acrocephalus agricola
BWWA,Blunt-winged Warbler,Acrocephalus concinens
BRWA,Blyth's Reed Warbler,Acrocephalus dumetorum
LBRW,Large-billed Reed Warbler,Acrocephalus orinus
GRWA,Great Reed Warbler,Acrocephalus arundinaceus
ORWA,Oriental Reed Warbler,Acrocephalus orientalis
CRWA,Clamorous Reed Warbler,Acrocephalus stentoreus
PGWA,Pallas's Grasshopper Warbler,Helopsaltes certhiola
LAWA,Lanceolated Warbler,Locustella lanceolata
BBWA,Brown Bush Warbler,Locustella luteoventris
CGWA,Common Grasshopper Warbler,Locustella naevia
LBBW,Long-billed Bush Warbler,Locustella major
CBWA,Chinese Bush Warbler,Locustella tacsanowskia
BBWA,Baikal Bush Warbler,Locustella davidi
WHBW,West Himalayan Bush Warbler,Locustella kashmirensis
SBWA,Spotted Bush Warbler,Locustella thoracica
RBWA,Russet Bush Warbler,Locustella mandelli
BTGR,Broad-tailed Grassbird,Schoenicola platyurus
BRGR,Bristled Grassbird,Schoenicola striatus
STGR,Striated Grassbird,Megalurus palustris
SBCU,Scaly-breasted Cupwing,Pnoepyga albiventer
IMCU,Immaculate Cupwing,Pnoepyga immaculata
PYCU,Pygmy Cupwing,Pnoepyga pusilla
GTMA,Gray-throated Martin,Riparia chinensis
BASW,Bank Swallow,Riparia riparia
PAMA,Pale Martin,Riparia diluta
ECMA,Eurasian Crag-Martin,Ptyonoprogne rupestris
DCMA,Dusky Crag-Martin,Ptyonoprogne concolor
HISW,Hill Swallow,Hirundo domicola
PASW,Pacific Swallow,Hirundo javanica
BASW,Barn Swallow,Hirundo rustica
WTSW,Wire-tailed Swallow,Hirundo smithii
WHMA,Western House-Martin,Delichon urbicum
SHMA,Siberian House-Martin,Delichon lagopodum
AHMA,Asian House-Martin,Delichon dasypus
NHMA,Nepal House-Martin,Delichon nipalense
ERRS,European Red-rumped Swallow,Cecropis rufula
ERRS,Eastern Red-rumped Swallow,Cecropis daurica
STSW,Streak-throated Swallow,Petrochelidon fluvicola
WTBU,White-throated Bulbul,Alophoixus flaveolus
STBU,Striated Bulbul,Alcurus striatus
CABU,Cachar Bulbul,Iole cacharensis
GEBU,Gray-eyed Bulbul,Iole propinqua
ASBU,Ashy Bulbul,Hemixos flavala
YBBU,Yellow-browed Bulbul,Acritillas indica
MOBU,Mountain Bulbul,Ixos mcclellandii
NIBU,Nicobar Bulbul,Hypsipetes nicobariensis
BLBU,Black Bulbul,Hypsipetes leucocephalus
STBU,Square-tailed Bulbul,Hypsipetes ganeesa
GHBU,Gray-headed Bulbul,Microtarsus priocephalus
BHBU,Black-headed Bulbul,Microtarsus melanocephalos
ANBU,Andaman Bulbul,Microtarsus fuscoflavescens
BCBU,Black-crested Bulbul,Rubigula flaviventris
FTBU,Flame-throated Bulbul,Rubigula gularis
CRFI,Crested Finchbill,Spizixos canifrons
WBBU,White-browed Bulbul,Pycnonotus luteolus
FLBU,Flavescent Bulbul,Pycnonotus flavescens
YTBU,Yellow-throated Bulbul,Pycnonotus xantholaemus
RWBU,Red-whiskered Bulbul,Pycnonotus jocosus
RVBU,Red-vented Bulbul,Pycnonotus cafer
WEBU,White-eared Bulbul,Pycnonotus leucotis
HIBU,Himalayan Bulbul,Pycnonotus leucogenys
WOWA,Wood Warbler,Phylloscopus sibilatrix
ATWA,Ashy-throated Warbler,Phylloscopus maculipennis
BBWA,Buff-barred Warbler,Phylloscopus pulcher
YBWA,Yellow-browed Warbler,Phylloscopus inornatus
HUWA,Hume's Warbler,Phylloscopus humei
BLWA,Brooks's Leaf Warbler,Phylloscopus subviridis
CLWA,Chinese Leaf Warbler,Phylloscopus yunnanensis
PLWA,Pallas's Leaf Warbler,Phylloscopus proregulus
LRWA,Lemon-rumped Warbler,Phylloscopus chloronotus
SLWA,Sichuan Leaf Warbler,Phylloscopus forresti
TLWA,Tytler's Leaf Warbler,Phylloscopus tytleri
SBWA,Sulphur-bellied Warbler,Phylloscopus griseolus
TLWA,Tickell's Leaf Warbler,Phylloscopus affinis
DUWA,Dusky Warbler,Phylloscopus fuscatus
SMWA,Smoky Warbler,Phylloscopus fuligiventer
PLWA,Plain Leaf Warbler,Phylloscopus neglectus
BTWA,Buff-throated Warbler,Phylloscopus subaffinis
WIWA,Willow Warbler,Phylloscopus trochilus
MOCH,Mountain Chiffchaff,Phylloscopus sindianus
COCH,Common Chiffchaff,Phylloscopus collybita
WSWA,White-spectacled Warbler,Phylloscopus intermedius
GCWA,Gray-cheeked Warbler,Phylloscopus poliogenys
GCWA,Green-crowned Warbler,Phylloscopus burkii
GCWA,Gray-crowned Warbler,Phylloscopus tephrocephalus
WHWA,Whistler's Warbler,Phylloscopus whistleri
BIWA,Bianchi's Warbler,Phylloscopus valentini
GRWA,Green Warbler,Phylloscopus nitidus
GRWA,Greenish Warbler,Phylloscopus trochiloides
TBWA,Two-barred Warbler,Phylloscopus plumbeitarsus
LBLW,Large-billed Leaf Warbler,Phylloscopus magnirostris
PLLW,Pale-legged Leaf Warbler,Phylloscopus tenellipes
SLWA,Sakhalin Leaf Warbler,Phylloscopus borealoides
ARWA,Arctic Warbler,Phylloscopus borealis
CCWA,Chestnut-crowned Warbler,Phylloscopus castaniceps
YVWA,Yellow-vented Warbler,Phylloscopus cantator
WCWA,Western Crowned Warbler,Phylloscopus occipitalis
BLWA,Blyth's Leaf Warbler,Phylloscopus reguloides
CLWA,Claudia's Leaf Warbler,Phylloscopus claudiae
GHWA,Gray-hooded Warbler,Phylloscopus xanthoschistos
PFBW,Pale-footed Bush Warbler,Hemitesia pallidipes
ASST,Asian Stubtail,Urosphena squameiceps
GBTE,Gray-bellied Tesia,Tesia cyaniventer
SBTE,Slaty-bellied Tesia,Tesia olivea
CCBW,Chestnut-crowned Bush Warbler,Cettia major
GSBW,Gray-sided Bush Warbler,Cettia brunnifrons
CHTE,Chestnut-headed Tesia,Cettia castaneocoronata
CEWA,Cetti's Warbler,Cettia cetti
YBWA,Yellow-bellied Warbler,Abroscopus superciliaris
RFWA,Rufous-faced Warbler,Abroscopus albogularis
BFWA,Black-faced Warbler,Abroscopus schisticeps
MOTA,Mountain Tailorbird,Phyllergates cucullatus
BBWA,Broad-billed Warbler,Tickellia hodgsoni
MBWA,Manchurian Bush Warbler,Horornis canturians
BFBW,Brownish-flanked Bush Warbler,Horornis fortipes
HBWA,Hume's Bush Warbler,Horornis brunnescens
ABWA,Aberrant Bush Warbler,Horornis flavolivaceus
WBTW,White-browed Tit-Warbler,Leptopoecile sophiae
CTWA,Crested Tit-Warbler,Leptopoecile elegans
WCTI,White-cheeked Tit,Aegithalos leucogenys
BTTI,Black-throated Tit,Aegithalos concinnus
WTTI,White-throated Tit,Aegithalos niveogularis
BBTI,Black-browed Tit,Aegithalos iouschistos
EUBL,Eurasian Blackcap,Sylvia atricapilla
GAWA,Garden Warbler,Sylvia borin
BAWA,Barred Warbler,Curruca nisoria
LEWH,Lesser Whitethroat,Curruca curruca
EOWA,Eastern Orphean Warbler,Curruca crassirostris
ADWA,Asian Desert Warbler,Curruca nana
GRWH,Greater Whitethroat,Curruca communis
FTMY,Fire-tailed Myzornis,Myzornis pyrrhoura
GBFU,Golden-breasted Fulvetta,Lioparus chrysotis
YEBA,Yellow-eyed Babbler,Chrysomma sinense
JEBA,Jerdon's Babbler,Chrysomma altirostre
BTFU,Brown-throated Fulvetta,Fulvetta ludlowi
WBFU,White-browed Fulvetta,Fulvetta vinipectus
MAFU,Manipur Fulvetta,Fulvetta manipurensis
BBPA,Black-breasted Parrotbill,Paradoxornis flavirostris
SBPA,Spot-breasted Parrotbill,Paradoxornis guttaticollis
GRPA,Great Parrotbill,Paradoxornis aemodius
BRPA,Brown Parrotbill,Paradoxornis unicolor
GHPA,Gray-headed Parrotbill,Paradoxornis gularis
WBPA,White-breasted Parrotbill,Paradoxornis ruficeps
RHPA,Rufous-headed Parrotbill,Paradoxornis bakeri
FUPA,Fulvous Parrotbill,Suthora fulvifrons
BTPA,Black-throated Parrotbill,Suthora nipalensis
PBPA,Pale-billed Parrotbill,Suthora atrosuperciliaris
STYU,Striated Yuhina,Staphida castaniceps
BCYU,Black-chinned Yuhina,Yuhina nigrimenta
WHYU,Whiskered Yuhina,Yuhina flavicollis
WNYU,White-naped Yuhina,Yuhina bakeri
STYU,Stripe-throated Yuhina,Yuhina gularis
RVYU,Rufous-vented Yuhina,Yuhina occipitalis
CFWE,Chestnut-flanked White-eye,Zosterops erythropleurus
IWEY,Indian White-eye,Zosterops palpebrosus
CCBA,Chestnut-capped Babbler,Timalia pileata
TBBA,Tawny-bellied Babbler,Dumetia hyperythra
DFBA,Dark-fronted Babbler,Dumetia atriceps
PSTB,Pin-striped Tit-Babbler,Mixornis gularis
GOBA,Golden Babbler,Cyanoderma chrysaeum
RFBA,Rufous-fronted Babbler,Cyanoderma rufifrons
BCBA,Black-chinned Babbler,Cyanoderma pyrrhops
RCBA,Rufous-capped Babbler,Cyanoderma ruficeps
RTWB,Rufous-throated Wren-Babbler,Spelaeornis caudatus
MWBA,Mishmi Wren-Babbler,Spelaeornis badeigularis
BWWB,Bar-winged Wren-Babbler,Spelaeornis troglodytoides
NWBA,Naga Wren-Babbler,Spelaeornis chocolatinus
CHWB,Chin Hills Wren-Babbler,Spelaeornis oatesi
TBWB,Tawny-breasted Wren-Babbler,Spelaeornis longicaudatus
BCSB,Black-crowned Scimitar-Babbler,Pomatorhinus ferruginosus
BCSB,Brown-crowned Scimitar-Babbler,Pomatorhinus phayrei
RBSB,Red-billed Scimitar-Babbler,Pomatorhinus ochraceiceps
SBSB,Slender-billed Scimitar-Babbler,Pomatorhinus superciliaris
SBSB,Streak-breasted Scimitar-Babbler,Pomatorhinus ruficollis
WBSB,White-browed Scimitar-Babbler,Pomatorhinus schisticeps
ISBA,Indian Scimitar-Babbler,Pomatorhinus horsfieldii
LSBA,Large Scimitar-Babbler,Erythrogenys hypoleucos
RCSB,Rusty-cheeked Scimitar-Babbler,Erythrogenys erythrogenys
SBSB,Spot-breasted Scimitar-Babbler,Erythrogenys mcclellandi
GTBA,Gray-throated Babbler,Stachyris nigriceps
SWBB,Sikkim Wedge-billed Babbler,Stachyris humei
CWBB,Cachar Wedge-billed Babbler,Stachyris roberti
STBA,Snowy-throated Babbler,Stachyris oglei
INGR,Indian Grassbird,Graminicola bengalensis
WHBA,White-hooded Babbler,Gampsorhynchus rufulus
YTFU,Yellow-throated Fulvetta,Schoeniparus cinereus
RWFU,Rufous-winged Fulvetta,Schoeniparus castaneceps
RTFU,Rufous-throated Fulvetta,Schoeniparus rufogularis
RCFU,Rusty-capped Fulvetta,Schoeniparus dubius
PTBA,Puff-throated Babbler,Pellorneum ruficeps
MABA,Marsh Babbler,Pellorneum palustre
STBA,Spot-throated Babbler,Pellorneum albiventre
BBBA,Buff-breasted Babbler,Pellorneum tickelli
RVGB,Rufous-vented Grass Babbler,Laticilla burnesii
SGBA,Swamp Grass Babbler,Laticilla cinerascens
ABBA,Abbott's Babbler,Malacocincla abbotti
SWBA,Streaked Wren-Babbler,Gypsophila brevicaudata
EWBA,Eyebrowed Wren-Babbler,Napothera epilepidota
LBWB,Long-billed Wren-Babbler,Napothera malacoptila
BCFU,Brown-cheeked Fulvetta,Alcippe poioicephala
NEFU,Nepal Fulvetta,Alcippe nipalensis
STLA,Striated Laughingthrush,Grammatoptila striata
HICU,Himalayan Cutia,Cutia nipalensis
SCLA,Scaly Laughingthrush,Trochalopteron subunicolor
BCLA,Brown-capped Laughingthrush,Trochalopteron austeni
BWLA,Blue-winged Laughingthrush,Trochalopteron squamatum
STLA,Streaked Laughingthrush,Trochalopteron lineatum
BHLA,Bhutan Laughingthrush,Trochalopteron imbricatum
STLA,Striped Laughingthrush,Trochalopteron virgatum
VALA,Variegated Laughingthrush,Trochalopteron variegatum
BFLA,Black-faced Laughingthrush,Trochalopteron affine
ELLA,Elliot's Laughingthrush,Trochalopteron elliotii
CCLA,Chestnut-crowned Laughingthrush,Trochalopteron erythrocephalum
ASLA,Assam Laughingthrush,Trochalopteron chrysopterum
BALA,Banasura Laughingthrush,Montecincla jerdoni
NILA,Nilgiri Laughingthrush,Montecincla cachinnans
PALA,Palani Laughingthrush,Montecincla fairbanki
ASLA,Ashambu Laughingthrush,Montecincla meridionalis
LTSI,Long-tailed Sibia,Heterophasia picaoides
RUSI,Rufous Sibia,Heterophasia capistrata
BESI,Beautiful Sibia,Heterophasia pulchella
GRSI,Gray Sibia,Heterophasia gracilis
HTBA,Hoary-throated Barwing,Actinodura nipalensis
STBA,Streak-throated Barwing,Actinodura waldeni
BWMI,Blue-winged Minla,Actinodura cyanouroptera
CTMI,Chestnut-tailed Minla,Actinodura strigula
RFBA,Rusty-fronted Barwing,Actinodura egertoni
RBLE,Red-billed Leiothrix,Leiothrix lutea
SEME,Silver-eared Mesia,Leiothrix argentauris
RTMI,Red-tailed Minla,Minla ignotincta
RBSI,Rufous-backed Sibia,Leioptila annectens
BULI,Bugun Liocichla,Liocichla bugunorum
RFLI,Red-faced Liocichla,Liocichla phoenicea
LGBA,Large Gray Babbler,Argya malcolmi
SBBA,Slender-billed Babbler,Argya longirostris
RUBA,Rufous Babbler,Argya subrufa
JUBA,Jungle Babbler,Argya striata
YBBA,Yellow-billed Babbler,Argya affinis
COBA,Common Babbler,Argya caudata
STBA,Striated Babbler,Argya earlei
SBLA,Spot-breasted Laughingthrush,Garrulax merulinus
LNLA,Lesser Necklaced Laughingthrush,Garrulax monileger
WCLA,White-crested Laughingthrush,Garrulax leucolophus
RCLA,Rufous-chinned Laughingthrush,Ianthocincla rufogularis
MOLA,Moustached Laughingthrush,Ianthocincla cineracea
SPLA,Spotted Laughingthrush,Ianthocincla ocellata
WALA,Wayanad Laughingthrush,Pterorhinus delesserti
RVLA,Rufous-vented Laughingthrush,Pterorhinus gularis
YTLA,Yellow-throated Laughingthrush,Pterorhinus galbanus
RNLA,Rufous-necked Laughingthrush,Pterorhinus ruficollis
CBLA,Chestnut-backed Laughingthrush,Pterorhinus nuchalis
WBLA,White-browed Laughingthrush,Pterorhinus sannio
GNLA,Greater Necklaced Laughingthrush,Pterorhinus pectoralis
MVBA,Mount Victoria Babax,Pterorhinus woodi
WTLA,White-throated Laughingthrush,Pterorhinus albogularis
GSLA,Gray-sided Laughingthrush,Pterorhinus caerulatus
GOLD,Goldcrest,Regulus regulus
WALL,Wallcreeper,Tichodroma muraria
WCNU,White-cheeked Nuthatch,Sitta leucopsis
BENU,Beautiful Nuthatch,Sitta formosa
VFNU,Velvet-fronted Nuthatch,Sitta frontalis
YUNU,Yunnan Nuthatch,Sitta yunnanensis
WTNU,White-tailed Nuthatch,Sitta himalayensis
INNU,Indian Nuthatch,Sitta castanea
CBNU,Chestnut-bellied Nuthatch,Sitta cinnamoventris
CVNU,Chestnut-vented Nuthatch,Sitta nagaensis
KANU,Kashmir Nuthatch,Sitta cashmirensis
ISCR,Indian Spotted Creeper,Salpornis spilonota
HOTR,Hodgson's Treecreeper,Certhia hodgsoni
BTTR,Bar-tailed Treecreeper,Certhia himalayana
RFTR,Rusty-flanked Treecreeper,Certhia nipalensis
SITR,Sikkim Treecreeper,Certhia discolor
HUTR,Hume's Treecreeper,Certhia manipurensis
EUWR,Eurasian Wren,Troglodytes troglodytes
SPEL,Spotted Elachura,Elachura formosa
WTDI,White-throated Dipper,Cinclus cinclus
BRDI,Brown Dipper,Cinclus pallasii
AGST,Asian Glossy Starling,Aplonis panayensis
GCMY,Golden-crested Myna,Ampeliceps coronatus
CHMY,Common Hill Myna,Gracula religiosa
SHMY,Southern Hill Myna,Gracula indica
EUST,European Starling,Sturnus vulgaris
ROST,Rosy Starling,Pastor roseus
DAST,Daurian Starling,Agropsar sturninus
CCST,Chestnut-cheeked Starling,Agropsar philippensis
IPST,Indian Pied Starling,Gracupica contra
WSST,White-shouldered Starling,Sturnia sinensis
